t_s,files_done,bytes_done,peak_rss_mb
2.0,152,910328,62.0
4.0,302,1808678,72.5
6.0,464,2778896,83.5
8.0,512,3066368,86.1
10.0,512,3066368,86.1
12.0,513,3072357,86.1
14.0,625,3743125,88.2
16.0,800,4791200,90.9
18.0,985,5899165,93.7
20.0,1024,6132736,95.3
22.0,1024,6132736,95.3
24.0,1025,6138725,95.3
26.0,1175,7037075,97.1
28.0,1343,8043227,99.0
30.0,1524,9127236,104.0
32.0,1536,9199104,104.7
34.0,1536,9199104,104.7
36.0,1537,9205093,104.7
38.0,1667,9983663,105.5
40.0,1821,10905969,106.6
42.0,1996,11954044,106.7
44.0,2001,11983989,106.7
46.0,2001,11983989,106.7
