t_s,files_done,bytes_done,peak_rss_mb
2.0,41,245549,35.3
4.0,91,544999,38.9
6.0,130,778570,41.6
8.0,165,988185,44.2
10.0,211,1263679,47.6
12.0,256,1533184,50.7
14.0,256,1533184,50.7
16.0,287,1718843,51.5
18.0,336,2012304,52.8
20.0,383,2293787,53.9
22.0,426,2551314,54.9
24.0,473,2832797,56.0
26.0,512,3066368,57.3
28.0,512,3066368,57.3
30.0,542,3246038,57.8
32.0,589,3527521,58.6
34.0,639,3826971,59.7
36.0,686,4108454,60.4
38.0,729,4365981,61.2
40.0,768,4599552,62.0
42.0,768,4599552,62.0
44.0,804,4815156,62.5
46.0,854,5114606,63.3
48.0,896,5366144,63.9
50.0,944,5653616,64.6
52.0,996,5965044,65.2
54.0,1024,6132736,65.9
56.0,1027,6150703,65.9
58.0,1076,6444164,66.5
60.0,1123,6725647,67.0
62.0,1173,7025097,67.5
64.0,1224,7330536,68.0
66.0,1270,7606030,68.3
68.0,1280,7665920,68.6
70.0,1298,7773722,68.6
72.0,1347,8067183,69.1
74.0,1396,8360644,69.4
76.0,1445,8654105,69.9
78.0,1494,8947566,70.1
80.0,1536,9199104,70.4
82.0,1536,9199104,70.4
84.0,1565,9372785,70.7
86.0,1607,9624323,70.9
88.0,1655,9911795,71.2
90.0,1700,10181300,71.5
92.0,1750,10480750,71.7
94.0,1792,10732288,72.8
96.0,1792,10732288,72.8
98.0,1812,10852068,72.8
100.0,1856,11115584,73.0
102.0,1902,11391078,73.3
104.0,1945,11648605,73.6
106.0,1994,11942066,73.8
108.0,2042,12229538,74.1
110.0,2048,12265472,74.3
112.0,2062,12349318,74.3
114.0,2108,12624812,74.6
116.0,2157,12918273,74.6
118.0,2195,13145855,74.9
120.0,2235,13385415,74.9
122.0,2280,13654920,75.1
124.0,2304,13798656,75.6
126.0,2304,13798656,75.6
128.0,2354,14098106,75.6
130.0,2401,14379589,75.6
132.0,2448,14661072,75.6
134.0,2496,14948544,75.6
136.0,2539,15206071,75.6
138.0,2560,15331840,76.7
140.0,2560,15331840,76.7
142.0,2610,15631290,76.9
144.0,2655,15900795,76.9
146.0,2703,16188267,77.2
148.0,2751,16475739,77.2
150.0,2797,16751233,77.5
152.0,2816,16865024,78.5
154.0,2816,16865024,78.5
156.0,2860,17128540,78.5
158.0,2898,17356122,78.5
160.0,2941,17613649,78.5
162.0,2991,17913099,78.5
164.0,3041,18212549,78.5
166.0,3072,18398208,78.5
168.0,3072,18398208,78.5
170.0,3112,18637768,78.5
172.0,3157,18907273,78.5
174.0,3207,19206723,78.5
176.0,3255,19494195,78.5
178.0,3303,19781667,78.5
180.0,3328,19931392,78.5
182.0,3335,19973315,78.8
184.0,3383,20260787,79.1
186.0,3432,20554248,79.1
188.0,3467,20763863,79.1
190.0,3515,21051335,79.1
192.0,3565,21350785,79.1
194.0,3584,21464576,80.0
196.0,3594,21524466,80.0
198.0,3642,21811938,80.0
200.0,3686,22075454,80.0
202.0,3733,22356937,80.0
