t_s,files_done,bytes_done,peak_rss_mb
2.0,36,202509891,87.5
4.0,38,631819839,87.5
6.0,60,1235209803,87.5
8.0,61,1469714663,87.5
10.0,63,3835538359,87.5
12.0,66,8294824339,87.5
14.0,66,8294824339,87.5
16.0,66,8294824339,87.5
18.0,66,8294824339,87.5
20.0,66,8294824339,87.5
22.0,66,8294824339,87.5
24.0,66,8294824339,87.5
26.0,66,8294824339,87.5
28.0,66,8294824339,87.5
30.0,66,8294824339,87.5
32.0,66,8294824339,87.5
34.0,66,8294824339,87.5
36.0,66,8294824339,87.5
38.0,66,8294824339,87.5
40.0,66,8294824339,87.5
42.0,66,8294824339,87.5
44.0,66,8294824339,87.5
46.0,66,8294824339,87.5
48.0,66,8294824339,87.5
50.0,66,8294824339,87.5
52.0,66,8294824339,87.5
54.0,66,8294824339,87.5
