t_s,files_done,bytes_done,peak_rss_mb
2.0,117,421499189,337.8
4.0,213,1094914165,544.4
6.0,230,1865124937,944.5
8.0,231,2306219237,1033.3
10.0,231,2306219237,1118.5
12.0,233,4672042933,1118.5
14.0,236,9124041521,1118.5
16.0,238,12240631253,1118.5
18.0,238,12240631253,1118.5
20.0,238,12240631253,1118.5
22.0,238,12240631253,1118.5
24.0,238,12240631253,1118.5
26.0,238,12240631253,1118.5
28.0,238,12240631253,1118.5
30.0,238,12240631253,1118.5
32.0,238,12240631253,1118.5
34.0,238,12240631253,1118.5
36.0,238,12240631253,1118.5
38.0,238,12240631253,1118.5
40.0,238,12240631253,1118.5
42.0,238,12240631253,1118.5
44.0,238,12240631253,1118.5
46.0,238,12240631253,1118.5
48.0,238,12240631253,1118.5
50.0,238,12240631253,1118.5
52.0,238,12240631253,1118.5
54.0,238,12240631253,1118.5
