t_s,files_done,bytes_done,peak_rss_mb
2.0,136,514672166,325.5
4.0,219,1016197737,476.4
6.0,230,1865124937,1057.8
8.0,231,2306219237,1164.1
10.0,231,2306219237,1164.1
12.0,233,4672042933,1164.1
14.0,236,9124041521,1165.5
16.0,238,12240631253,1165.5
18.0,238,12240631253,1165.5
20.0,238,12240631253,1165.5
22.0,238,12240631253,1165.5
24.0,238,12240631253,1165.5
26.0,238,12240631253,1165.5
28.0,238,12240631253,1165.5
30.0,238,12240631253,1165.5
32.0,238,12240631253,1165.5
34.0,238,12240631253,1165.5
36.0,238,12240631253,1165.5
38.0,238,12240631253,1165.5
40.0,238,12240631253,1165.5
42.0,238,12240631253,1165.5
44.0,238,12240631253,1165.5
46.0,238,12240631253,1165.5
48.0,238,12240631253,1165.5
50.0,238,12240631253,1165.5
52.0,238,12240631253,1165.5
54.0,238,12240631253,1165.5
56.0,238,12240631253,1165.5
