phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,2146.066,0.08,2001,11.984,5.58
history_parse,290.924,0.01,2001,0.000,0.00
bucket_stream,1992826.227,75.92,16459,135949.160,68.22
xdr_decompress,180828.584,6.89,6003,46190.556,255.44
xdr_parse_ledger,462.041,0.02,2001,0.000,0.00
xdr_parse_tx,358309.916,13.65,2001,0.000,0.00
xdr_parse_result,89936.006,3.43,2001,0.000,0.00
xdr_parse_scp,0.000,0.00,0,0.000,0.00
cross_file_verify,52.953,0.00,2001,0.000,0.00
chain_verify,0.104,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
