t_s,files_done,bytes_done,peak_rss_mb
2.0,32,1076970765,725.3
4.0,33,1523733785,874.9
6.0,35,3201857913,874.9
8.0,35,3201857913,874.9
10.0,36,4639155137,874.9
12.0,38,7748457477,874.9
14.0,38,7748457477,874.9
16.0,38,7748457477,874.9
18.0,38,7748457477,874.9
20.0,38,7748457477,874.9
22.0,38,7748457477,874.9
24.0,38,7748457477,874.9
26.0,38,7748457477,874.9
28.0,38,7748457477,874.9
30.0,38,7748457477,874.9
32.0,38,7748457477,874.9
34.0,38,7748457477,874.9
36.0,38,7748457477,874.9
38.0,38,7748457477,874.9
40.0,38,7748457477,874.9
42.0,38,7748457477,874.9
44.0,38,7748457477,874.9
46.0,38,7748457477,874.9
48.0,38,7748457477,874.9
50.0,38,7748457477,874.9
52.0,38,7748457477,874.9
54.0,74,15386993588,874.9
56.0,141,15911930786,874.9
58.0,167,16077501772,874.9
60.0,167,16077501772,874.9
62.0,246,17107515991,874.9
64.0,305,17502730536,874.9
66.0,361,17952829549,874.9
68.0,430,18382907919,874.9
70.0,476,18764465843,874.9
72.0,537,19128112544,874.9
74.0,537,19128112544,874.9
76.0,537,19128112544,874.9
78.0,618,20270654127,874.9
80.0,676,20634699144,874.9
82.0,732,21062326801,874.9
84.0,815,21480538000,874.9
86.0,867,21851898524,874.9
88.0,915,22090554552,874.9
90.0,947,22647310883,874.9
92.0,1033,23086280974,874.9
94.0,1111,23433329064,874.9
96.0,1198,23909629304,875.8
98.0,1278,24319680321,879.3
100.0,1317,24500849020,879.3
102.0,1388,25067260810,879.3
104.0,1469,25485196885,879.7
106.0,1565,25976821053,883.8
108.0,1634,26356536243,883.8
110.0,1694,26654375336,883.8
112.0,1724,27106921375,893.8
114.0,1809,27576350306,893.8
116.0,1895,28046598773,893.8
118.0,1976,28466358936,895.4
120.0,2045,28908833534,895.4
122.0,2077,29061265092,895.4
124.0,2112,29596067319,907.4
126.0,2193,30042514034,909.1
128.0,2268,30463030740,913.1
130.0,2362,30980765592,913.1
132.0,2436,31427387506,913.1
134.0,2462,31546049116,913.1
136.0,2462,31546049116,913.1
138.0,2462,31546049116,913.1
140.0,2507,32761817120,917.9
142.0,2595,33208377172,917.9
144.0,2671,33627211470,921.7
146.0,2754,34076376389,921.7
148.0,2837,34441005360,921.7
150.0,2905,34901593894,921.7
152.0,2994,35321131254,926.3
154.0,3080,35762553625,926.3
156.0,3165,36184549272,926.3
158.0,3213,36403236248,926.3
160.0,3279,36936137606,926.8
162.0,3374,37378145094,926.8
164.0,3458,37833355129,926.8
166.0,3541,38275510832,926.8
168.0,3593,38513961036,926.8
170.0,3649,39096435513,929.6
172.0,3733,39555148468,929.6
174.0,3800,39965425638,929.9
176.0,3878,40419319500,930.1
178.0,3938,40796211185,931.6
180.0,3976,40982650988,931.6
182.0,3976,40982650988,931.6
184.0,3976,40982650988,931.6
186.0,3976,40982650988,931.6
188.0,4011,42402725807,931.6
190.0,4101,42788744233,931.6
192.0,4199,43158592888,931.6
194.0,4283,43593472951,931.6
196.0,4362,43970597642,931.6
198.0,4412,44342647626,947.3
200.0,4505,44925717998,952.0
202.0,4561,45390863883,952.0
204.0,4634,45950172893,952.7
206.0,4686,46528516393,953.9
208.0,4745,47125318274,954.0
210.0,4770,47418560056,954.7
212.0,4816,48017836572,954.7
214.0,4850,48398442419,954.7
216.0,4895,48829122651,954.7
218.0,4955,49189550416,956.6
220.0,4978,49614518518,958.7
222.0,5048,50041016128,960.6
224.0,5058,50417627293,960.6
226.0,5134,50859994184,960.6
228.0,5141,50901055248,960.7
230.0,5209,51600128302,962.4
232.0,5277,52046383100,962.8
234.0,5327,52351967880,962.8
236.0,5408,52917140207,964.0
238.0,5466,53337099136,964.0
240.0,5514,53635141884,964.0
242.0,5514,53635141884,964.0
244.0,5514,53635141884,964.0
246.0,5528,54716982074,964.0
248.0,5605,55170993616,968.1
250.0,5663,55577108557,970.3
252.0,5709,55940459305,970.8
254.0,5792,56412440268,970.8
256.0,5839,56801074732,970.8
258.0,5887,57092833264,970.8
260.0,5897,57577168725,970.8
262.0,5977,58021741500,970.8
264.0,6043,58421997074,972.4
266.0,6094,58797007854,972.4
268.0,6166,59153550688,972.4
270.0,6235,59588900190,972.4
272.0,6259,59704538184,972.4
274.0,6268,60274160645,972.4
276.0,6355,60640244824,972.4
278.0,6448,61108539584,972.4
280.0,6526,61549072839,972.4
282.0,6592,61901404972,972.4
284.0,6642,62145688600,972.4
286.0,6642,62145688600,972.4
288.0,6687,62957171624,972.4
290.0,6770,63387214675,990.0
292.0,6855,63846788698,990.0
294.0,6926,64246905868,991.2
296.0,7002,64683641002,991.2
298.0,7026,64833084016,991.2
300.0,7026,64833084016,991.2
302.0,7098,65777145866,991.2
304.0,7168,66232062544,991.2
306.0,7227,66686620485,993.7
308.0,7297,67110949763,993.7
310.0,7352,67520992176,1006.7
312.0,7404,67869979308,1008.5
314.0,7477,68405642910,1008.5
316.0,7536,68831752935,1008.5
318.0,7601,69215208728,1008.5
320.0,7657,69650332885,1008.5
322.0,7695,69892872224,1008.5
324.0,7750,70397589353,1009.0
326.0,7788,70626781384,1009.0
328.0,7836,71141968984,1009.0
330.0,7885,71459289308,1009.0
332.0,7958,72004163495,1011.3
334.0,8001,72354380094,1011.3
336.0,8072,72802035588,1011.3
338.0,8114,73199621200,1011.3
340.0,8165,73516745624,1011.3
342.0,8165,73516745624,1011.3
344.0,8235,74293896258,1012.0
346.0,8293,74726760227,1012.0
348.0,8353,75096824148,1012.0
350.0,8408,75545757805,1012.6
352.0,8448,75764061216,1012.6
354.0,8517,76244794986,1012.6
356.0,8543,76367392900,1012.6
358.0,8543,76367392900,1012.6
360.0,8543,76367392900,1012.6
362.0,8553,77498016625,1012.6
364.0,8636,77843948308,1013.3
366.0,8728,78290806464,1013.3
368.0,8799,78659613342,1013.3
370.0,8858,79012847623,1013.3
372.0,8918,79259289152,1013.3
374.0,8947,79685195643,1013.3
376.0,9045,80151720459,1013.3
378.0,9127,80569808438,1013.6
380.0,9209,80982184113,1013.6
382.0,9299,81368001152,1013.6
384.0,9299,81368001152,1013.6
386.0,9391,82079546864,1013.6
388.0,9469,82446654750,1013.6
390.0,9550,82854315601,1013.6
392.0,9626,83251553875,1013.7
394.0,9687,83521097988,1013.7
396.0,9687,83521097988,1013.7
398.0,9788,84294806648,1013.7
400.0,9912,84725278072,1013.7
402.0,10010,85158167008,1013.7
404.0,10101,85578809560,1013.7
406.0,10107,85615067048,1013.7
408.0,10107,85615067048,1013.7
410.0,10107,85615067048,1013.7
412.0,10107,85615067048,1013.7
414.0,10208,87242769120,1013.7
416.0,10291,87697388255,1019.1
418.0,10367,88180030477,1019.1
420.0,10437,88744905731,1019.1
422.0,10495,89216865076,1019.1
424.0,10546,89689110176,1019.1
426.0,10601,90169847504,1019.1
428.0,10649,90664568484,1019.1
430.0,10700,91122493636,1019.1
432.0,10748,91604675340,1019.1
434.0,10797,91973692092,1019.1
436.0,10818,92403717834,1019.1
438.0,10890,92790260112,1019.1
440.0,10939,93217764084,1020.8
442.0,10995,93625459373,1020.8
444.0,11073,94056289996,1020.8
446.0,11130,94480306921,1020.8
448.0,11172,94707315008,1020.8
450.0,11265,95307055384,1020.8
452.0,11267,95315933132,1020.8
454.0,11314,95991770088,1020.8
456.0,11384,96393628026,1020.8
458.0,11457,96770440424,1020.8
460.0,11528,97217330894,1020.8
462.0,11586,97626634607,1020.8
464.0,11648,97961740176,1020.8
466.0,11648,97961740176,1020.8
468.0,11648,97961740176,1020.8
470.0,11648,97961740176,1020.8
472.0,11648,97961740176,1020.8
474.0,11718,99675270170,1020.8
476.0,11789,100081034956,1020.8
478.0,11839,100350542208,1021.4
480.0,11931,100909449196,1023.2
482.0,11982,101298014272,1023.2
484.0,12033,101609651148,1023.2
486.0,12074,102057989264,1023.2
488.0,12136,102501850049,1023.8
490.0,12212,102869336391,1023.8
492.0,12290,103270687041,1023.8
494.0,12355,103649909338,1023.8
496.0,12432,104008754620,1023.8
498.0,12432,104008754620,1023.8
500.0,12524,104784908860,1023.8
502.0,12604,105195748286,1024.8
504.0,12679,105603417812,1024.8
506.0,12754,106016628478,1024.8
508.0,12831,106325014812,1024.8
510.0,12831,106325014812,1024.8
512.0,12905,107063021434,1024.8
514.0,13010,107508789015,1024.8
516.0,13095,107905224302,1031.3
518.0,13183,108305657149,1031.3
520.0,13227,108485785916,1031.3
522.0,13227,108485785916,1031.3
524.0,13227,108485785916,1031.3
526.0,13323,109670682012,1031.3
528.0,13427,110091073792,1031.3
530.0,13528,110519621192,1031.3
532.0,13611,110909208671,1031.3
534.0,13662,111276072891,1031.3
536.0,13757,111698791866,1031.3
538.0,13858,112124527430,1031.3
540.0,13956,112548058842,1031.3
542.0,14032,112810006448,1031.3
544.0,14115,113334827963,1031.3
546.0,14235,113789124905,1031.3
548.0,14330,114192245585,1031.3
550.0,14418,114494707688,1031.3
552.0,14476,114926542421,1031.3
554.0,14596,115358391219,1031.3
556.0,14707,115753012968,1031.3
558.0,14800,116122241456,1031.3
560.0,14800,116122241456,1031.3
562.0,14800,116122241456,1031.3
564.0,14800,116122241456,1031.3
566.0,14880,117448228767,1031.3
568.0,14979,117880297835,1031.3
570.0,15082,118297487055,1031.3
572.0,15173,118728125326,1031.3
574.0,15253,119155877304,1031.3
576.0,15334,119607732515,1031.3
578.0,15409,120028466269,1031.3
580.0,15492,120461550680,1031.3
582.0,15558,120880398877,1031.3
584.0,15607,121276642881,1031.3
586.0,15696,121762921692,1031.3
588.0,15776,122194968222,1031.3
590.0,15828,122562017746,1031.6
592.0,15904,122970421124,1031.6
594.0,15952,123344244644,1031.6
596.0,16008,123631728016,1031.6
598.0,16082,124168596710,1031.6
600.0,16170,124620613732,1031.6
602.0,16228,124929305732,1031.6
604.0,16305,125412697470,1031.6
606.0,16371,125864595071,1031.6
608.0,16443,126221882636,1031.6
610.0,16443,126221882636,1031.6
612.0,16443,126221882636,1031.6
614.0,16443,126221882636,1031.6
616.0,16469,127550458042,1031.6
618.0,16542,127984892552,1031.6
620.0,16612,128441410206,1031.6
622.0,16665,128858278570,1031.6
624.0,16729,129331567827,1031.6
626.0,16770,129726235626,1031.6
628.0,16831,130203450999,1031.6
630.0,16848,130553728260,1031.6
632.0,16921,131054829906,1031.6
634.0,16970,131566519754,1031.6
636.0,17035,132112042959,1031.6
638.0,17072,132479528822,1031.6
640.0,17147,132893566216,1031.6
642.0,17149,132894358108,1031.6
644.0,17254,133578465224,1031.6
646.0,17254,133578465224,1031.6
648.0,17340,134268613783,1031.6
650.0,17450,134728766940,1031.6
652.0,17534,135127759143,1031.6
654.0,17614,135536313406,1031.6
656.0,17640,135632593604,1031.6
658.0,17640,135632593604,1031.6
660.0,17697,136498030689,1031.6
662.0,17801,136920711569,1031.6
664.0,17900,137414943481,1031.6
666.0,17975,137868777895,1031.6
668.0,18042,138223174520,1031.6
670.0,18042,138223174520,1031.6
672.0,18042,138223174520,1031.6
674.0,18042,138223174520,1031.6
676.0,18042,138223174520,1031.6
678.0,18082,139855298251,1031.6
680.0,18159,140287185853,1033.0
682.1,18247,140731060304,1033.0
684.1,18320,141148400522,1033.0
686.1,18384,141559355411,1033.0
688.1,18452,141911441140,1033.0
690.1,18528,142358467238,1033.0
692.1,18598,142773213007,1033.0
