t_s,files_done,bytes_done,peak_rss_mb
2.0,199,334512724,437.0
4.0,447,1002636532,470.4
6.0,706,1654131784,596.4
8.0,957,2333469380,711.4
10.0,1123,2849907768,898.1
12.0,1287,3375481792,900.4
14.0,1449,3855868324,900.4
16.0,1660,4501819988,900.4
18.0,1794,5114197484,925.5
20.0,1972,5594958804,967.8
22.0,2145,6168781956,981.4
24.0,2276,6821426200,981.4
26.0,2434,7343597620,981.4
28.0,2606,8029397056,981.4
30.0,2807,8743045872,981.4
32.0,2960,9327035976,981.4
34.0,3141,9911548032,981.4
36.0,3242,10478426016,981.4
38.0,3443,11028870092,981.4
40.0,3627,11780299328,981.4
42.0,3810,12366628724,981.4
44.0,4036,13088815876,981.4
46.0,4180,13636484064,981.4
48.0,4325,14272811052,981.4
50.0,4561,15164367028,981.4
52.0,4710,15804516908,981.4
54.0,4883,16307310512,981.4
56.0,5041,16802321996,1014.4
58.0,5197,17372876092,1014.4
60.0,5333,18078853796,1014.4
62.0,5465,18720039100,1014.4
64.0,5635,19534581224,1014.4
66.0,5862,20226582804,1014.4
68.0,6040,20850297944,1045.3
70.0,6211,21306250956,1045.3
72.0,6359,21830692080,1045.3
74.0,6452,22201652900,1045.3
76.0,6605,22846287968,1166.4
78.0,6769,23704524324,1195.1
80.0,6923,24813378700,1236.0
82.0,7058,25197626324,1244.0
84.0,7195,25748654688,1265.8
86.0,7373,26299477256,1276.6
88.0,7515,26826187836,1310.9
90.0,7702,27410913772,1343.4
92.0,7841,27908730220,1369.9
94.0,7994,28764517136,1377.7
96.0,8149,29338798340,1430.4
98.0,8248,29708405380,1435.4
100.0,8447,30909722976,1435.4
102.0,8594,31412244148,1435.4
104.0,8775,32214470812,1459.1
106.0,8907,32640426716,1487.0
108.0,9032,33466566684,1487.0
110.0,9221,34566536240,1487.0
112.0,9398,35144025104,1496.2
114.0,9493,35550378444,1530.8
116.0,9649,35977503904,1546.6
118.0,9749,36405929816,1645.2
120.0,9863,36752842876,1645.2
122.0,10035,37408838640,1645.2
124.0,10215,37922710092,1645.2
126.0,10310,38314817968,1645.2
128.0,10483,38833640224,1652.8
130.0,10583,39308453500,1652.8
132.0,10768,39853975772,1652.8
134.0,10908,40336641252,1652.8
136.0,11040,40901831276,1652.8
138.0,11232,41511703588,1659.1
140.0,11441,42131097320,1681.9
142.0,11534,42517071212,1700.8
144.0,11698,43233568408,1700.8
146.0,11895,43820134992,1725.8
148.0,12050,44313771244,1734.7
150.0,12205,44786595204,1768.2
152.0,12298,45139187144,1768.2
154.0,12468,45621689564,1768.4
156.0,12581,46005424700,1771.8
158.0,12729,47465036008,1771.8
160.0,12859,47950843920,1784.4
162.0,12960,48291970752,1785.4
164.0,13153,48787665672,1785.4
166.0,13325,49340033508,1785.4
168.0,13452,49768890872,1785.4
170.0,13635,50314740376,1786.4
172.0,13835,51009367176,1786.7
174.0,14005,51532978776,1794.8
176.0,14182,53065143484,1807.4
178.0,14321,53493199856,1813.2
180.0,14490,54058906692,1813.4
182.0,14671,54961007624,1813.7
184.0,14870,56606974712,1817.1
186.0,14982,57009568352,1832.3
188.0,15174,57680747048,1834.9
190.0,15315,58731104588,1859.0
192.0,15449,59200069252,1887.5
194.0,15528,59620026676,1968.2
196.0,15640,60232404488,1968.2
198.0,15738,60666570756,1968.2
200.0,15840,61080594592,1968.2
202.0,15995,61720677232,1968.2
204.0,16055,62115749948,1968.2
206.0,16180,62497510288,1968.2
208.0,16278,62913519860,1977.1
210.0,16340,63302736484,1977.1
212.0,16472,63738618964,1977.1
214.0,16622,64160162784,1977.1
216.0,16789,64706642392,1977.1
218.0,16886,65161498320,1977.1
220.0,17095,65678970008,1977.1
222.0,17250,66138102336,1977.1
224.0,17360,66817637980,1977.1
226.0,17442,67128758768,1977.1
228.0,17619,67694407608,1977.1
230.0,17758,68158505992,1977.1
232.0,17875,68666302952,1977.1
234.0,18003,69165742920,1977.1
236.0,18098,69617178364,1977.1
238.0,18219,70179986856,2014.6
240.0,18289,70552491724,2014.6
242.0,18398,71093926292,2014.6
244.0,18545,71667731672,2014.6
246.0,18717,72223273824,2014.6
248.0,18857,72733074352,2014.6
250.0,18908,73027143444,2014.6
252.0,19095,73779381356,2014.6
254.0,19201,74273793644,2014.6
256.0,19364,75389140560,2014.6
258.0,19500,75918734660,2014.6
260.0,19646,76565344488,2014.6
262.0,19788,77293087720,2014.6
264.0,19897,77773976764,2014.6
266.0,20028,78411629216,2014.6
268.0,20160,78938887132,2014.6
270.0,20255,79606688928,2014.6
272.0,20389,80246451552,2014.6
274.0,20477,80654504676,2014.6
276.0,20621,81338070460,2014.6
278.0,20740,81975349624,2014.6
280.0,20891,82617313284,2014.6
282.0,21046,83294354336,2014.6
284.0,21243,83982218064,2014.6
286.0,21423,84577009840,2014.6
288.0,21579,85178678396,2014.6
290.0,21726,85662371852,2014.6
292.0,21892,86296178276,2014.6
294.0,22062,87094312780,2014.6
296.0,22132,87448079236,2014.6
298.0,22291,88127122488,2014.6
300.0,22417,88639243884,2014.6
302.0,22517,89140420504,2014.6
304.0,22665,89974940768,2014.6
306.0,22783,90609035000,2014.6
308.0,22922,91109344640,2014.6
310.0,23042,91551009716,2014.6
312.0,23194,91992887332,2014.6
314.0,23266,92661928896,2014.6
316.0,23446,93321942864,2014.6
318.0,23537,93979302804,2014.6
320.0,23639,94334661980,2014.6
