t_s,files_done,bytes_done,peak_rss_mb
2.0,310,249632352,1350.2
4.0,381,494945944,1484.8
6.0,457,743125972,1647.5
8.0,511,984727092,1756.0
10.0,550,1208523080,1768.4
12.0,611,1436890344,1770.4
14.0,672,1661874672,1770.4
16.0,737,1880896536,1770.4
18.0,819,2105142708,1770.4
20.0,882,2333469980,1770.4
22.0,933,2573118468,1770.4
24.0,988,2802735404,1933.1
26.0,1027,3026545008,1933.1
28.0,1115,3377088928,1933.1
30.0,1175,3649325364,1933.1
32.0,1749,5198718232,1933.1
34.0,3118,8340594676,1933.1
36.0,3226,8646929932,1933.8
38.0,3326,8938031304,2061.2
40.0,3391,9262696856,2168.8
42.0,3436,9495019452,2203.2
44.0,3494,9761446572,2207.3
46.0,3561,10081377540,2293.7
48.0,3607,10305691184,2293.7
50.0,3648,10618482716,2293.7
52.0,3706,10915637736,2293.7
54.0,3777,11186205324,2293.7
56.0,3905,11830298368,2293.7
58.0,4013,12287958128,2293.7
60.0,4335,12989653032,2293.7
62.0,4616,13903055688,2293.7
64.0,4962,14872700252,2293.7
66.0,5647,17236210100,2293.7
68.0,5892,18150930664,2293.7
70.0,5990,18528473892,2300.7
72.0,6073,18938537788,2418.3
74.0,6140,19363233068,2450.1
76.0,6190,19705630560,2458.0
78.0,6236,19983070432,2487.8
80.0,6278,20262720136,2487.8
82.0,6345,20614589564,2487.8
84.0,6429,20998819288,2487.8
86.0,6533,21454777268,2487.8
88.0,6683,22007985620,2487.8
90.0,6870,22590200948,2487.8
92.0,7212,23538905948,2487.8
94.0,7466,24521781948,2487.8
96.0,7726,25260830944,2487.8
98.0,7906,25853895208,2487.8
100.0,8057,26385027800,2487.8
102.0,8193,27086997616,2487.8
104.0,8306,27487207352,2487.8
106.0,8448,27957080128,2487.8
108.0,8559,28376060432,2487.8
110.0,8658,28957927884,2487.8
112.0,8783,29325439800,2487.8
114.0,8871,29704103456,2487.8
116.0,9005,30367628656,2487.8
118.0,9132,30951595352,2487.8
120.0,9217,31276639584,2487.8
122.0,9317,31633598484,2487.8
124.0,9476,32538369748,2487.8
126.0,9640,33232806708,2487.8
128.0,9851,34013722500,2487.8
130.0,10127,34806559744,2487.8
132.0,10310,35392604392,2487.8
134.0,10510,35944454124,2487.8
136.0,10630,36349953244,2487.8
138.0,10751,36827380884,2487.8
140.0,10880,37305897512,2487.8
142.0,11024,37737973696,2487.8
144.0,11123,38200360772,2487.8
146.0,11274,38728152520,2487.8
148.0,11395,39140152500,2487.8
150.0,11562,39600155132,2487.8
152.0,11702,40018283172,2487.8
154.0,11820,40469391616,2487.8
156.0,11952,40945867996,2487.8
158.0,12065,41480836644,2487.8
160.0,12222,41925931032,2487.8
162.0,12342,42349536212,2487.8
164.0,12530,43152384284,2487.8
166.0,12754,44005469180,2487.8
168.0,12936,44481741952,2487.8
170.0,13154,45284776092,2487.8
172.0,13321,45904122132,2487.8
174.0,13483,46329423536,2487.8
176.0,13640,47153507108,2487.8
178.0,13774,47535249268,2487.8
180.0,13852,47866498244,2487.8
182.0,13992,48277957876,2487.8
184.0,14181,48855945424,2487.8
186.0,14312,49280405504,2487.8
188.0,14512,49893577072,2487.8
190.0,14683,50498057664,2487.8
192.0,14875,51429968604,2487.8
194.0,15063,52052219316,2487.8
196.0,15208,52614579984,2487.8
198.0,15303,52978883108,2487.8
200.0,15356,53330380416,2487.8
202.0,15443,53749726320,2487.8
204.0,15555,54225132596,2487.8
206.0,15649,54663095908,2487.8
208.0,15783,55818783036,2487.8
210.0,15880,56223143644,2487.8
212.0,15985,56726291476,2487.8
214.0,16047,57343005732,2487.8
216.0,16171,57748295940,2487.8
218.0,16272,58132627432,2487.8
220.0,16425,58644156212,2487.8
222.0,16576,59112990956,2487.8
224.0,16790,59751948760,2487.8
226.0,16908,60254748824,2487.8
228.0,16988,60557955492,2487.8
230.0,17107,60946861868,2487.8
232.0,17245,61366180180,2487.8
234.0,17387,61837061380,2487.8
236.0,17519,62274448304,2487.8
238.0,17683,62750415432,2517.2
240.0,17764,63138290956,2517.2
242.0,17850,63500914820,2517.2
244.0,17957,63954699164,2517.2
246.0,18073,64513076196,2517.2
248.0,18314,65294196960,2517.2
