t_s,files_done,bytes_done,peak_rss_mb
2.0,116,443402028,323.0
4.0,219,1124025717,489.2
6.0,230,1865124937,926.7
8.0,231,2306219237,1082.0
10.0,231,2306219237,1121.9
12.0,232,3440332581,1132.9
14.0,235,7590707029,1132.9
16.0,238,12240631253,1132.9
18.0,238,12240631253,1132.9
20.0,238,12240631253,1132.9
22.0,238,12240631253,1132.9
24.0,238,12240631253,1132.9
26.0,238,12240631253,1132.9
28.0,238,12240631253,1132.9
30.0,238,12240631253,1132.9
32.0,238,12240631253,1132.9
34.0,238,12240631253,1132.9
36.0,238,12240631253,1132.9
38.0,238,12240631253,1132.9
40.0,238,12240631253,1132.9
42.0,238,12240631253,1132.9
44.0,238,12240631253,1132.9
46.0,238,12240631253,1132.9
48.0,238,12240631253,1132.9
50.0,238,12240631253,1132.9
52.0,238,12240631253,1132.9
54.0,238,12240631253,1132.9
56.0,238,12240631253,1132.9
