phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,353.794,0.02,2001,11.984,33.87
history_parse,295.451,0.02,2001,0.000,0.00
bucket_stream,1310032.932,67.72,16459,135949.160,103.78
xdr_decompress,165451.309,8.55,8004,47129.386,284.85
xdr_parse_ledger,460.932,0.02,2001,0.000,0.00
xdr_parse_tx,364790.375,18.86,2001,0.000,0.00
xdr_parse_result,91422.886,4.73,2001,0.000,0.00
xdr_parse_scp,1587.458,0.08,2001,0.000,0.00
cross_file_verify,48.455,0.00,2001,0.000,0.00
chain_verify,0.162,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
