t_s,files_done,bytes_done,peak_rss_mb
2.0,33,1077445901,1120.4
4.0,34,1524208921,1120.7
6.0,36,3202333049,1120.7
8.0,36,3202333049,1120.7
10.0,37,4639630273,1120.7
12.0,39,7748932613,1120.7
14.0,39,7748932613,1120.7
16.0,39,7748932613,1120.7
18.0,39,7748932613,1120.7
20.0,39,7748932613,1120.7
22.0,39,7748932613,1120.7
24.0,39,7748932613,1120.7
26.0,39,7748932613,1120.7
28.0,39,7748932613,1120.7
30.0,39,7748932613,1120.7
32.0,39,7748932613,1120.7
34.0,39,7748932613,1120.7
36.0,39,7748932613,1120.7
38.0,39,7748932613,1120.7
40.0,39,7748932613,1120.7
42.0,39,7748932613,1120.7
44.0,39,7748932613,1120.7
46.0,39,7748932613,1120.7
48.0,39,7748932613,1120.7
50.0,39,7748932613,1120.7
52.0,39,7748932613,1120.7
54.0,78,15388888840,1120.7
56.0,174,16039224188,1120.7
58.0,179,16083196864,1120.7
60.0,204,16762185306,1120.7
62.0,279,17184050624,1120.7
64.0,366,17745624823,1120.7
66.0,439,18220737245,1120.7
68.0,492,18654764473,1120.7
70.0,581,19148993932,1120.7
72.0,581,19148993932,1120.7
74.0,581,19148993932,1120.7
76.0,669,20294860227,1120.7
78.0,757,20792207390,1120.7
80.0,830,21246703956,1120.7
82.0,888,21547319540,1120.7
84.0,991,22126628780,1120.7
86.0,991,22126628780,1120.7
88.0,1090,22946699148,1120.7
90.0,1188,23422490971,1120.7
92.0,1269,23836834177,1120.7
94.0,1357,24251438279,1120.7
96.0,1425,24552109224,1120.7
98.0,1476,25008504096,1120.7
100.0,1580,25484441220,1120.7
102.0,1668,25910252035,1120.7
104.0,1757,26363790474,1120.7
106.0,1834,26720817188,1120.7
108.0,1855,27108365010,1120.7
110.0,1954,27608015130,1120.7
112.0,2050,28094064729,1120.7
114.0,2132,28523391835,1120.7
116.0,2223,29008573378,1120.7
118.0,2249,29142855696,1120.7
120.0,2301,29735414632,1120.7
122.0,2391,30222665231,1120.7
124.0,2468,30687632297,1120.7
126.0,2562,31104902832,1120.7
128.0,2666,31642797476,1120.7
130.0,2666,31642797476,1120.7
132.0,2666,31642797476,1120.7
134.0,2666,31642797476,1120.7
136.0,2751,33024462763,1120.7
138.0,2843,33463917214,1120.7
140.0,2933,33894357825,1120.7
142.0,3022,34334333272,1120.7
144.0,3073,34552902244,1120.7
146.0,3183,35179133501,1120.7
148.0,3277,35584117832,1120.7
150.0,3378,36044987732,1120.7
152.0,3468,36491145867,1120.7
154.0,3503,36856776894,1120.7
156.0,3597,37292800249,1120.7
158.0,3699,37759100113,1120.7
160.0,3789,38144469108,1120.7
162.0,3893,38656165860,1120.7
164.0,3914,39025129858,1120.7
166.0,4008,39530171173,1120.7
168.0,4098,39980226196,1120.7
170.0,4189,40509374251,1120.7
172.0,4269,40957039293,1120.7
174.0,4308,41140011872,1120.7
176.0,4308,41140011872,1120.7
178.0,4308,41140011872,1120.7
180.0,4308,41140011872,1120.7
182.0,4361,42620069896,1120.7
184.0,4473,43070911951,1120.7
186.0,4570,43463106698,1120.7
188.0,4653,43802572164,1120.7
190.0,4755,44276721988,1120.7
192.0,4817,44712500825,1120.7
194.0,4908,45284984980,1120.7
196.0,4985,45860847522,1120.7
198.0,5063,46517659216,1120.7
200.0,5114,47053321692,1120.7
202.0,5166,47606230828,1120.7
204.0,5207,48157752296,1120.7
206.0,5262,48615144628,1120.7
208.0,5311,49042858276,1120.7
210.0,5367,49384818380,1120.7
212.0,5405,49881347639,1120.7
214.0,5468,50240082560,1120.7
216.0,5505,50751794051,1120.7
218.0,5569,51103921208,1120.7
