phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,1933.812,0.45,2001,11.984,6.20
history_parse,120.110,0.03,2001,0.000,0.00
bucket_stream,250103.930,58.22,16459,135949.160,543.57
xdr_decompress,76189.271,17.74,8004,47129.386,618.58
xdr_parse_ledger,134.139,0.03,2001,0.000,0.00
xdr_parse_tx,81131.432,18.89,2001,0.000,0.00
xdr_parse_result,19351.286,4.50,2001,0.000,0.00
xdr_parse_scp,596.468,0.14,2001,0.000,0.00
cross_file_verify,20.240,0.00,2001,0.000,0.00
chain_verify,0.063,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
