t_s,files_done,bytes_done,peak_rss_mb
2.0,364,5722494524,962.2
4.0,787,12820477689,1075.9
6.0,1248,16260302668,1098.4
8.0,1687,18533670537,1135.0
10.0,2105,20939386933,1135.0
12.0,2520,30888860429,1135.0
14.0,2995,33106932606,1135.0
16.0,3481,36486876961,1135.0
18.0,3915,38749869871,1135.0
20.0,4394,41424262166,1135.0
22.0,4878,43760021323,1135.0
24.0,5287,48594530342,1135.0
26.0,5703,51752465147,1135.0
28.0,6111,54575305783,1135.0
30.0,6523,58004746968,1135.0
32.0,7038,61040044760,1135.0
34.0,7473,63684601562,1135.0
36.0,7924,67351109237,1135.0
38.0,8335,69976448492,1135.0
40.0,8733,73001691143,1135.0
42.0,9164,76040359841,1135.0
44.0,9631,78226175346,1135.0
46.0,10106,81771941303,1135.0
48.0,10565,84104919241,1135.0
50.0,11086,86521783878,1135.0
52.0,11542,90901591309,1135.0
54.0,11999,94456628644,1135.0
56.0,12514,97748388056,1135.0
58.0,12998,100467114290,1135.0
60.0,13453,104293576951,1135.0
62.0,13939,106951087723,1135.0
64.0,14424,109298414728,1135.0
66.0,14932,112274357001,1135.0
68.0,15463,114428644697,1135.0
70.0,16006,116621903707,1135.0
72.0,16527,118742281701,1135.0
74.0,16981,122216501851,1135.0
76.0,17479,125048217171,1135.0
78.0,17996,127928895587,1135.0
80.0,18545,133270036255,1135.0
82.0,19085,136301842924,1135.0
84.0,19594,138472597765,1135.0
86.0,20120,143341979583,1194.7
88.0,20574,145903800290,1194.7
90.0,21004,148541525564,1194.7
92.0,21494,151133085745,1194.7
94.0,22008,154150568765,1194.7
96.0,22493,156444454169,1194.7
98.0,23043,158698323892,1194.7
100.0,23533,160918789465,1194.7
102.0,23953,164541477936,1194.7
104.0,24413,167435152347,1194.7
106.0,24903,170011754873,1194.7
108.0,25421,174061053455,1194.7
110.0,25813,177336160506,1207.2
112.0,26192,180111857557,1207.2
114.0,26463,181549908489,1207.2
