t_s,files_done,bytes_done,peak_rss_mb
2.0,461,10892762627,577.4
4.0,910,14193142058,608.0
6.0,1397,16986963218,642.0
8.0,1832,19277686508,661.7
10.0,2279,29207156019,704.2
12.0,2752,31982640227,719.5
14.0,3241,35437691994,734.6
16.0,3730,37849537516,801.1
18.0,4215,40691560857,801.1
20.0,4722,44061709263,823.9
22.0,5151,47397938835,854.6
24.0,5604,51252119539,873.2
26.0,6034,54140918109,873.2
28.0,6464,57740652831,877.0
30.0,7000,61349295431,877.0
32.0,7442,64191007487,882.2
34.0,7896,67309929118,882.2
36.0,8351,70251328561,882.2
38.0,8784,73287667883,889.0
40.0,9240,76540526787,889.2
42.0,9736,79824635346,889.2
44.0,10224,82618227083,898.5
46.0,10750,85113820693,919.8
48.0,11260,87512847617,919.8
50.0,11748,92583468474,946.0
52.0,12253,95914267480,946.0
54.0,12800,99347893159,946.0
56.0,13277,103598819058,947.4
58.0,13782,106250222304,947.4
60.0,14282,108824737705,947.4
62.0,14799,111656732583,956.7
64.0,15359,114095175817,970.1
66.0,15928,116376669448,977.3
68.0,16465,119537361196,977.3
70.0,16958,122165276177,977.3
72.0,17506,125210698060,977.3
74.0,18026,127999857330,977.3
76.0,18602,133670906183,977.3
78.0,19192,136594973828,977.3
80.0,19706,139760951565,977.3
82.0,20248,144173068104,977.3
84.0,20741,147184071132,993.5
86.0,21201,149930629006,1017.0
88.0,21726,153044441063,1017.0
90.0,22226,155349545264,1017.0
92.0,22797,157830475074,1017.0
94.0,23341,160957677366,1017.0
96.0,23807,163533594546,1028.2
98.0,24255,166431647655,1029.8
100.0,24777,169443453759,1029.8
102.0,25321,173442586858,1029.8
104.0,25737,176862539873,1065.4
106.0,26145,179894992094,1072.3
108.0,26463,181549908489,1072.3
