t_s,files_done,bytes_done,peak_rss_mb
2.0,36,3202333049,206.6
4.0,39,7748932613,206.9
6.0,39,7748932613,206.9
8.0,39,7748932613,206.9
10.0,39,7748932613,206.9
12.0,153,15927393862,287.7
14.0,379,17812774444,349.5
16.0,581,19148993932,362.8
18.0,888,21547319540,373.5
20.0,1174,23352122618,404.3
22.0,1474,24986365556,417.9
24.0,1834,26720817188,425.3
26.0,2145,28580544012,446.0
28.0,2417,30360154333,452.7
30.0,2666,31642797476,462.0
32.0,2943,33910751786,466.9
34.0,3300,35709415606,468.6
36.0,3647,37477338965,474.1
38.0,3984,39393704391,481.9
40.0,4308,41140011872,487.9
42.0,4415,42808553811,487.9
44.0,4777,44490775626,495.3
46.0,5100,46924878415,503.6
48.0,5337,49187819674,503.6
50.0,5569,51103921208,511.1
52.0,5835,52997615229,514.2
54.0,5974,53853083980,514.2
56.0,6278,56655624572,517.5
58.0,6528,58550880720,522.4
60.0,6783,59952835836,526.1
62.0,7146,62172395216,526.1
64.0,7363,63756789237,526.7
66.0,7614,65111112624,528.7
68.0,7922,67463182996,531.0
70.0,8211,69354333574,531.7
72.0,8440,70934554680,532.1
74.0,8743,73076660000,535.8
76.0,8951,74780965872,535.8
78.0,9246,76667844267,536.4
80.0,9360,78184876468,537.5
82.0,9666,79611255444,538.4
84.0,10038,81564590725,540.7
86.0,10337,83163087480,540.8
88.0,10648,84792729730,540.8
90.0,10951,86011960388,543.9
92.0,11166,88172523284,545.9
94.0,11485,90585331904,547.1
96.0,11711,92785672629,554.7
98.0,12014,94694290885,554.7
100.0,12309,96683443344,554.7
102.0,12620,98418238872,558.9
104.0,12722,100265377032,561.1
106.0,13037,102081180856,567.2
108.0,13359,103916388140,567.2
110.0,13643,105643427445,567.4
112.0,13910,107272210081,568.0
114.0,14327,109002374592,574.1
116.0,14530,110577757799,574.1
118.0,14915,112295205891,574.1
120.0,15340,114068330219,574.1
122.0,15776,115808391033,574.1
124.0,16028,116699176588,574.1
126.0,16387,119104042563,577.9
128.0,16766,121035058263,579.8
130.0,17112,122959172712,582.0
132.0,17444,124952940104,584.2
134.0,17799,126859340024,585.7
136.0,17906,128626137108,589.7
138.0,18234,130926684768,589.7
140.0,18472,133107652610,589.7
142.0,18730,134792728352,590.9
144.0,19092,136315491708,591.0
146.0,19413,138305050424,593.4
148.0,19526,138921230200,593.4
150.0,19829,141867892646,593.4
152.0,20193,143814325532,593.8
154.0,20493,145735328827,594.9
156.0,20813,147597877608,600.7
158.0,21086,149383347673,600.7
160.0,21265,150988760963,600.7
162.0,21639,152541192336,600.7
164.0,22045,154392062695,600.7
166.0,22384,156118635501,600.7
168.0,22769,157733057964,600.7
170.0,22938,158363756656,601.7
172.0,23368,161057070592,601.9
174.0,23693,162916049176,606.8
176.0,24008,164941869208,606.8
178.0,24306,166925615123,606.8
180.0,24637,168742556972,606.8
182.0,24769,170527423419,606.8
184.0,25106,172384924434,606.8
186.0,25438,174399974475,619.2
188.0,25661,176485343751,629.7
190.0,25922,178477304957,632.9
192.0,26144,179991027389,633.2
194.0,26400,181310174640,633.3
