phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,16818.806,1.38,2001,11.984,0.71
history_parse,137.217,0.01,2001,0.000,0.00
bucket_stream,840113.948,68.98,16459,135949.160,161.82
xdr_decompress,260838.055,21.42,8004,47129.386,180.68
xdr_parse_ledger,147.570,0.01,2001,0.000,0.00
xdr_parse_tx,79945.010,6.56,2001,0.000,0.00
xdr_parse_result,19224.302,1.58,2001,0.000,0.00
xdr_parse_scp,637.035,0.05,2001,0.000,0.00
cross_file_verify,21.214,0.00,2001,0.000,0.00
chain_verify,0.065,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
