t_s,files_done,bytes_done,peak_rss_mb
2.0,365,5172873464,775.1
4.0,792,12861356349,884.2
6.0,1254,16244758012,884.2
8.0,1713,18627162996,884.2
10.0,2131,21070252227,891.0
12.0,2574,31098625254,891.0
14.0,3070,33479816220,902.3
16.0,3542,36740331683,917.9
18.0,4015,39183469215,917.9
20.0,4471,41717201023,954.6
22.0,4953,44249474608,954.6
24.0,5363,49103240288,957.7
26.0,5770,52515876988,994.7
28.0,6187,55054425629,994.7
30.0,6627,59022900224,994.7
32.0,7150,61516010573,994.7
34.0,7584,64261194890,997.3
36.0,8020,67921989376,997.3
38.0,8438,70697634384,998.6
40.0,8879,73917568355,1002.5
42.0,9296,76837842155,1002.5
44.0,9766,78920841172,1002.5
46.0,10250,82435113725,1002.5
48.0,10766,84817810026,1022.7
50.0,11268,87550752845,1022.7
52.0,11733,92533744195,1022.7
54.0,12221,95608544874,1022.7
56.0,12755,98989867207,1022.7
58.0,13190,101699445428,1023.2
60.0,13696,105460037662,1036.0
62.0,14173,107941974357,1036.0
64.0,14686,110317793899,1036.0
66.0,15174,113298820320,1060.5
68.0,15762,115452382980,1079.1
70.0,16315,117739536586,1079.1
72.0,16785,119989838357,1079.1
74.0,17259,123742824867,1079.1
76.0,17818,126884220727,1079.1
78.0,18325,131419651219,1100.1
80.0,18899,135060716345,1100.1
82.0,19413,137599187704,1100.1
84.0,19932,140911052206,1100.1
86.0,20428,145138959542,1103.3
88.0,20894,147935488007,1106.6
90.0,21368,150599999985,1106.6
92.0,21879,153598545587,1106.6
94.0,22370,156000414952,1131.9
96.0,22948,158404150598,1131.9
98.0,23478,160664894352,1137.7
100.0,23897,164041545068,1163.5
102.0,24368,167117732408,1163.5
104.0,24855,169789145150,1163.5
106.0,25380,173833892520,1221.1
108.0,25796,177276161545,1240.9
110.0,26177,179615012316,1258.9
112.0,26463,181549908489,1261.6
