phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,364.405,0.02,2001,11.984,32.89
history_parse,267.321,0.01,2001,0.000,0.00
bucket_stream,1300822.456,67.50,16459,135949.160,104.51
xdr_decompress,166461.686,8.64,8004,47129.386,283.12
xdr_parse_ledger,456.632,0.02,2001,0.000,0.00
xdr_parse_tx,365073.324,18.94,2001,0.000,0.00
xdr_parse_result,92132.542,4.78,2001,0.000,0.00
xdr_parse_scp,1570.574,0.08,2001,0.000,0.00
cross_file_verify,57.249,0.00,2001,0.000,0.00
chain_verify,0.169,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
