t_s,files_done,bytes_done,peak_rss_mb
2.0,129,1431337341,434.8
4.0,238,2719124166,458.8
6.0,334,4986151005,499.2
8.0,433,6197999801,546.1
10.0,538,6958888081,578.8
12.0,649,12031608942,585.5
14.0,762,12673323935,585.5
16.0,884,14042987273,590.7
18.0,996,14692004157,597.9
20.0,1099,15135038433,597.9
22.0,1201,16019643032,614.7
24.0,1318,16564872925,614.7
26.0,1437,17111300722,622.5
28.0,1534,17816994233,622.5
30.0,1647,18297170538,622.5
32.0,1756,18878487195,631.2
34.0,1845,19349079177,631.6
36.0,1963,20182218716,631.6
38.0,2066,20705842622,631.6
40.0,2171,21294393019,651.6
42.0,2260,21764614073,651.6
44.0,2362,22234003245,651.6
46.0,2479,23198510214,659.8
48.0,2580,23716846706,659.8
50.0,2707,24347972032,659.8
52.0,2811,24858581280,659.8
54.0,2926,32809409561,659.8
56.0,3047,34377744331,685.3
58.0,3147,34831713066,685.3
60.0,3281,35541410026,707.0
62.0,3386,36032984382,707.0
64.0,3499,36553026282,720.9
66.0,3617,37299368488,720.9
68.0,3720,37774087644,723.4
70.0,3821,38294008524,723.4
72.0,3930,38793531071,723.4
74.0,4058,39729959422,732.2
76.0,4163,40311870882,744.6
78.0,4272,40918069090,754.0
80.0,4370,41351318045,757.5
82.0,4509,41837842222,757.5
84.0,4627,42374826959,757.5
86.0,4735,42909902807,757.5
88.0,4846,44786125109,757.5
90.0,4956,45525751965,757.5
92.0,5050,46247074777,776.9
94.0,5158,47310210353,777.9
96.0,5253,48437925664,777.9
98.0,5348,49300593823,781.0
100.0,5440,49720763430,795.7
102.0,5525,50505365421,795.7
104.0,5637,51389858270,795.7
106.0,5745,52440837294,795.7
108.0,5841,52997233562,795.7
110.0,5942,53672631414,795.7
112.0,6058,54221252436,795.7
114.0,6143,54752993446,795.7
116.0,6250,55416247375,795.7
118.0,6339,56956946665,795.7
120.0,6451,57622291959,795.7
122.0,6548,58665156502,795.7
124.0,6691,59387838702,795.7
126.0,6820,60030783668,795.7
128.0,6947,60609332937,795.7
130.0,7074,61719978840,804.0
132.0,7181,62263697484,812.9
134.0,7268,62640651282,812.9
136.0,7377,63145601723,812.9
138.0,7484,64354265211,834.8
140.0,7584,64862614907,834.8
142.0,7689,65448809094,834.8
144.0,7803,66099679627,834.8
146.0,7894,67260670351,841.6
148.0,7995,67819306806,841.6
150.0,8088,68486256105,841.6
152.0,8221,69315673857,841.6
154.0,8328,70018102445,841.6
156.0,8425,70774443460,855.9
158.0,8510,71223111694,855.9
160.0,8615,72213304326,858.5
162.0,8714,72896807138,864.7
164.0,8804,73415829589,864.7
166.0,8927,74185392115,864.7
168.0,9024,75213733438,864.7
170.0,9115,75857561901,864.7
172.0,9242,76564395632,864.7
174.0,9358,77017424189,864.7
176.0,9465,77505951886,864.7
178.0,9576,78018509138,864.7
180.0,9692,79653242979,864.7
182.0,9793,80434574786,864.7
184.0,9895,80894307442,864.7
186.0,10036,81486278910,864.7
188.0,10137,81902370253,864.7
190.0,10263,82757332531,864.7
192.0,10367,83225213843,864.7
194.0,10470,83713788491,864.7
196.0,10575,84131951198,864.7
198.0,10734,85066737608,864.7
200.0,10847,85543458608,864.7
202.0,10983,86075293439,864.7
204.0,11099,86552112304,864.7
206.0,11190,87067739958,866.6
208.0,11302,87862952787,866.6
210.0,11449,90122077419,880.8
212.0,11545,90899804574,880.8
214.0,11675,91959538855,880.8
216.0,11762,92641749714,896.5
218.0,11873,93690487876,896.5
220.0,11980,94331500224,896.5
222.0,12088,95009800459,896.5
224.0,12221,95794099826,896.5
226.0,12369,96467982006,896.5
228.0,12496,97602489348,896.5
230.0,12602,98258561576,896.5
232.0,12720,98870630989,896.5
234.0,12846,99487187426,896.5
236.0,12957,100145064002,896.5
238.0,13049,100739136254,896.5
240.0,13158,102920110450,896.5
242.0,13275,103477845450,896.5
244.0,13418,104171173282,896.5
246.0,13521,104648872205,896.5
248.0,13612,105163787575,896.5
250.0,13722,105959821759,899.5
252.0,13868,106628201923,899.5
254.0,13967,107019517806,899.5
256.0,14089,107525723311,899.5
258.0,14193,108427748015,899.5
260.0,14313,108943156711,899.5
262.0,14441,109363985593,899.5
264.0,14558,109803674698,899.5
266.0,14686,111167655376,899.5
268.0,14793,111760828335,905.3
270.0,14901,112157515999,905.3
272.0,15015,112607889479,905.3
274.0,15163,113183589119,905.3
276.0,15270,113596491146,905.3
278.0,15417,114278125558,905.3
280.0,15534,114780545926,911.6
282.0,15672,115205493309,911.6
284.0,15807,115887909208,911.6
286.0,15956,116409085540,911.6
288.0,16065,116812620459,911.6
290.0,16180,117252977100,911.6
292.0,16307,117750204305,911.6
294.0,16438,119280578631,917.7
296.0,16545,119822965919,917.7
298.0,16645,120337700723,917.7
300.0,16760,121001391195,917.7
302.0,16867,121537645579,921.8
304.0,16979,122303266283,921.8
306.0,17093,122895202967,921.8
308.0,17208,123505444331,921.8
310.0,17337,124197126322,921.8
312.0,17453,124924751325,921.8
314.0,17612,125767143913,921.8
316.0,17730,126339878748,921.8
318.0,17870,127114798658,921.8
320.0,17952,127696467788,921.8
322.0,18092,128547569591,921.8
324.0,18225,129536891732,921.8
326.0,18373,132018741624,921.8
328.0,18517,133014534270,921.8
330.0,18624,133729832185,921.8
332.0,18771,134503435428,921.8
334.0,18907,135457418570,921.8
336.0,19054,136108531794,921.8
338.0,19156,136522421085,921.8
340.0,19276,136960309866,921.8
342.0,19396,138175275360,921.8
344.0,19515,138779524776,927.4
346.0,19644,139367306641,927.4
348.0,19762,139956209042,927.4
350.0,19875,140588765442,927.4
352.0,20018,141273537840,927.4
354.0,20151,143510661182,927.4
356.0,20263,144179176458,927.5
358.0,20375,144860992474,927.5
360.0,20467,145340968353,933.3
362.0,20595,146236754224,933.3
364.0,20700,146832633060,933.3
366.0,20802,147467191840,933.3
368.0,20888,147969831622,933.3
370.0,20986,148860774922,943.8
