phase,total_ms,pct_of_phase_time,calls,mb,mb_per_s
history_fetch,367.582,0.02,2001,11.984,32.60
history_parse,296.982,0.02,2001,0.000,0.00
bucket_stream,1204499.021,66.34,16459,135949.160,112.87
xdr_decompress,150095.964,8.27,8004,47129.386,314.00
xdr_parse_ledger,460.396,0.03,2001,0.000,0.00
xdr_parse_tx,367033.303,20.22,2001,0.000,0.00
xdr_parse_result,91117.304,5.02,2001,0.000,0.00
xdr_parse_scp,1609.553,0.09,2001,0.000,0.00
cross_file_verify,46.936,0.00,2001,0.000,0.00
chain_verify,0.175,0.00,1,0.000,0.00
copy,0.000,0.00,0,0.000,0.00
