t_s,files_done,bytes_done,peak_rss_mb
2.0,33,1077445901,1111.2
4.0,34,1524208921,1111.4
6.0,36,3202333049,1111.4
8.0,36,3202333049,1111.4
10.0,39,7748932613,1111.4
12.0,39,7748932613,1111.4
14.0,39,7748932613,1111.4
16.0,39,7748932613,1111.4
18.0,39,7748932613,1111.4
20.0,39,7748932613,1111.4
22.0,39,7748932613,1111.4
24.0,39,7748932613,1111.4
26.0,39,7748932613,1111.4
28.0,39,7748932613,1111.4
30.0,39,7748932613,1111.4
32.0,39,7748932613,1111.4
34.0,39,7748932613,1111.4
36.0,39,7748932613,1111.4
38.0,39,7748932613,1111.4
40.0,39,7748932613,1111.4
42.0,39,7748932613,1111.4
44.0,39,7748932613,1111.4
46.0,39,7748932613,1111.4
48.0,99,15608881430,1111.4
50.0,179,16083196864,1111.4
52.0,179,16083196864,1111.4
54.0,238,16938488521,1111.4
56.0,316,17443567347,1111.4
58.0,391,17968400857,1111.4
60.0,479,18458919676,1111.4
62.0,551,18957488370,1111.4
64.0,581,19148993932,1111.4
66.0,581,19148993932,1111.4
68.0,656,20200592198,1111.4
70.0,745,20735947937,1111.4
72.0,821,21222928963,1111.4
74.0,900,21718431053,1111.4
76.0,991,22126628780,1111.4
78.0,1003,22580157305,1111.4
80.0,1094,22978696308,1111.4
82.0,1203,23476997684,1111.4
84.0,1295,23945085171,1111.4
86.0,1384,24370672309,1111.4
88.0,1425,24552109224,1111.4
90.0,1516,25190548051,1111.4
92.0,1617,25654544639,1111.4
94.0,1715,26117609067,1111.4
96.0,1804,26562438434,1111.4
98.0,1834,26720817188,1111.4
100.0,1918,27428409759,1111.4
102.0,2024,27933578379,1111.4
104.0,2107,28395352689,1111.4
106.0,2193,28850431344,1111.4
108.0,2249,29142855696,1111.4
110.0,2287,29679081771,1111.4
112.0,2387,30189727547,1111.4
114.0,2468,30687632297,1111.4
116.0,2562,31104902832,1111.4
118.0,2666,31642797476,1111.4
120.0,2666,31642797476,1111.4
122.0,2666,31642797476,1111.4
124.0,2679,32712534281,1111.4
126.0,2780,33197500001,1111.4
128.0,2869,33569254252,1111.4
130.0,2972,34048095012,1111.4
132.0,3069,34521548556,1111.4
134.0,3135,34971585665,1111.4
136.0,3236,35419647737,1111.4
138.0,3339,35888571033,1111.4
140.0,3438,36341971429,1111.4
142.0,3481,36530296364,1111.4
144.0,3581,37183531688,1111.4
146.0,3687,37661591152,1111.4
148.0,3785,38109729404,1111.4
150.0,3889,38624660044,1111.4
152.0,3915,39031089750,1111.4
154.0,4012,39544562430,1111.4
156.0,4108,40068433437,1111.4
158.0,4204,40574915328,1111.4
160.0,4291,41060909015,1111.4
162.0,4308,41140011872,1111.4
164.0,4308,41140011872,1111.4
166.0,4308,41140011872,1111.4
168.0,4323,42468282909,1111.4
170.0,4432,42849809344,1111.4
172.0,4547,43323536308,1111.4
174.0,4640,43764256999,1111.4
176.0,4729,44172571838,1111.4
178.0,4800,44601395928,1111.4
180.0,4901,45231921392,1111.4
182.0,4972,45791133497,1111.4
184.0,5049,46411246623,1111.4
186.0,5114,47053321692,1111.4
188.0,5166,47606230828,1111.4
190.0,5216,48207407264,1111.4
192.0,5266,48653099788,1111.4
194.0,5341,49228348442,1111.4
196.0,5367,49384818380,1111.4
198.0,5452,50138936959,1111.4
200.0,5468,50240082560,1111.4
202.0,5565,51065765628,1111.4
204.0,5578,51446718301,1111.4
206.0,5669,51962009364,1111.4
208.0,5758,52497270283,1111.4
210.0,5834,52982280629,1111.4
212.0,5907,53469617715,1111.4
214.0,5974,53853083980,1111.4
216.0,5974,53853083980,1111.4
218.0,5974,53853083980,1111.4
220.0,6023,55101731736,1111.4
222.0,6112,55662776155,1111.4
224.0,6182,56135383893,1111.4
226.0,6277,56646760920,1111.4
228.0,6340,57112807373,1111.4
230.0,6379,57325954128,1111.4
232.0,6425,57958857228,1111.4
234.0,6504,58448295662,1111.4
236.0,6591,58972182761,1111.4
238.0,6682,59398051620,1111.4
240.0,6783,59952835836,1111.4
242.0,6783,59952835836,1111.4
244.0,6855,60747869634,1111.4
246.0,6959,61217249342,1111.4
248.0,7048,61683551021,1111.4
250.0,7132,62133818023,1111.4
252.0,7198,62408963812,1111.4
254.0,7198,62408963812,1111.4
256.0,7261,63284997321,1111.4
258.0,7352,63716317020,1111.4
260.0,7441,64175963491,1111.4
262.0,7531,64698090910,1111.4
264.0,7614,65111112624,1111.4
266.0,7614,65111112624,1111.4
268.0,7679,65994621161,1111.4
270.0,7767,66506314756,1111.4
272.0,7836,66989153958,1111.4
274.0,7922,67463182996,1111.4
276.0,7998,68000483254,1111.4
278.0,8062,68489512643,1111.4
280.0,8141,69001444093,1111.4
282.0,8237,69515512064,1111.4
284.0,8306,69991186094,1111.4
286.0,8360,70440987434,1111.4
288.0,8440,70934554680,1111.4
290.0,8475,71358164539,1111.4
292.0,8545,71770792568,1111.4
294.0,8633,72359257807,1111.4
296.0,8696,72809495692,1111.4
298.0,8748,73121057752,1111.4
300.0,8848,73829507304,1111.4
302.0,8849,73839444404,1111.4
304.0,8933,74680334315,1111.4
306.0,9014,75202621901,1111.4
308.0,9077,75653007714,1111.4
310.0,9156,76097699948,1111.4
312.0,9232,76584261398,1111.4
314.0,9259,76704679708,1111.4
316.0,9259,76704679708,1111.4
318.0,9259,76704679708,1111.4
320.0,9327,78042262594,1111.4
322.0,9424,78502168609,1111.4
324.0,9509,78883633260,1111.4
326.0,9589,79310222294,1111.4
328.0,9666,79611255444,1111.4
330.0,9704,80066369975,1111.4
332.0,9818,80561638252,1111.4
334.0,9917,81005069264,1111.4
336.0,10012,81477222159,1111.4
338.0,10079,81734834668,1111.4
340.0,10118,82236712383,1111.4
342.0,10226,82685612023,1111.4
344.0,10317,83101117070,1111.4
346.0,10418,83554428022,1111.4
348.0,10499,83902906888,1111.4
350.0,10513,84343710613,1111.4
352.0,10631,84777712053,1111.4
354.0,10754,85221196701,1111.4
356.0,10860,85659965009,1111.4
358.0,10951,86011960388,1111.4
360.0,10951,86011960388,1111.4
362.0,10951,86011960388,1111.4
364.0,10951,86011960388,1111.4
366.0,11033,87535417158,1111.4
368.0,11139,88025305546,1111.4
370.0,11245,88659594966,1111.4
372.0,11324,89247646356,1111.4
374.0,11390,89847525829,1111.4
376.0,11464,90446007787,1111.4
378.0,11536,91065132020,1111.4
380.0,11592,91541733684,1111.4
382.0,11644,92025792588,1111.4
384.0,11697,92396643276,1111.4
386.0,11748,92951131064,1111.4
388.0,11809,93416873817,1111.4
390.0,11901,93908894868,1111.4
392.0,11984,94436113503,1111.4
394.0,12065,94948670313,1111.4
396.0,12138,95424737903,1111.4
398.0,12207,95757412960,1111.4
400.0,12220,96273078061,1111.4
402.0,12321,96784619557,1111.4
404.0,12422,97323720761,1111.4
406.0,12516,97808273524,1111.4
408.0,12605,98354074867,1111.4
410.0,12620,98418238872,1111.4
412.0,12620,98418238872,1111.4
414.0,12620,98418238872,1111.4
416.0,12620,98418238872,1111.4
418.0,12722,100265377032,1111.4
420.0,12827,100814597224,1111.4
422.0,12907,101274274922,1111.4
424.0,12983,101773217724,1111.4
426.0,13037,102081180856,1111.4
428.0,13112,102724565010,1111.4
430.0,13205,103226058445,1111.4
432.0,13288,103632803091,1111.4
434.0,13373,104079465381,1111.4
436.0,13468,104495305492,1111.4
438.0,13480,104883894829,1111.4
440.0,13584,105379078421,1111.4
442.0,13684,105822745932,1111.4
444.0,13779,106286662575,1111.4
446.0,13873,106721771118,1111.4
448.0,13899,106826555644,1111.4
450.0,13953,107446797988,1111.4
452.0,14066,107892110873,1111.4
454.0,14161,108316120672,1111.4
456.0,14270,108789767788,1111.4
458.0,14327,109002374592,1111.4
460.0,14327,109002374592,1111.4
462.0,14340,109865379665,1111.4
464.0,14458,110287141678,1111.4
466.0,14567,110726770538,1111.4
468.0,14675,111172482470,1111.4
470.0,14760,111521979400,1111.4
472.0,14845,111999606166,1111.4
474.0,14956,112430702850,1111.4
476.0,15074,112880463803,1111.4
478.0,15183,113327437067,1111.4
480.0,15235,113708203627,1111.4
482.0,15365,114150750301,1111.4
484.0,15495,114606595687,1111.4
486.0,15601,115026147703,1111.4
488.0,15653,115423911903,1111.4
490.0,15788,115840863810,1111.4
492.0,15914,116294854971,1111.4
494.0,16028,116699176588,1111.4
496.0,16028,116699176588,1111.4
498.0,16028,116699176588,1111.4
500.0,16041,117766864513,1111.4
502.0,16147,118179623845,1111.4
504.0,16267,118643009802,1111.4
506.0,16377,119086384718,1111.4
508.0,16471,119538734381,1111.4
510.0,16570,120008011580,1111.4
512.0,16675,120527560076,1111.4
514.0,16778,121071576544,1111.4
516.0,16872,121610934235,1111.4
518.0,16944,122078300836,1111.4
520.0,17041,122620640715,1111.4
522.0,17125,123117628053,1111.4
524.0,17222,123595318972,1111.4
526.0,17301,124102004962,1111.4
528.0,17368,124580917731,1111.4
530.0,17477,125120248610,1111.4
532.0,17568,125559206088,1111.4
534.0,17681,126189352332,1111.4
536.0,17768,126698893978,1111.4
538.0,17799,126859340024,1111.4
540.0,17799,126859340024,1111.4
542.0,17799,126859340024,1111.4
544.0,17813,128126075993,1111.4
546.0,17906,128626137108,1111.4
548.0,17996,129186262675,1111.4
550.0,18083,129796039385,1111.4
552.0,18151,130360956674,1111.4
554.0,18234,130926684768,1111.4
556.0,18274,131417813139,1111.4
558.0,18342,131935132204,1111.4
560.0,18423,132612306206,1111.4
562.0,18452,132831545524,1111.4
564.0,18547,133509858703,1111.4
